"TxDate","PL_FUT","Cum_PL_FUT","PL_STK","Cum_PL_Stk"
"1","2010-03-25"," -73100","   -73100","   7656","     7656"
"2","2010-03-26"," -87870","  -160970","   7091","    14747"
"3","2010-03-29"," -73740","  -234710","   8685","    23432"
"4","2010-04-01"," -80600","  -315310","   7509","    30941"
"5","2010-04-02"," -86210","  -401520","   7246","    38187"
"6","2010-04-06","-110440","  -511960","   6306","    44493"
"7","2010-04-07","-106820","  -618780","   6343","    50836"
"8","2010-04-22","-182190","  -800970","   3903","    54739"
"9","2010-04-23","-193690","  -994660","   3181","    57920"
"10","2010-04-26","-177220"," -1171880","   3877","    61797"
"11","2010-05-06"," 105580"," -1066300","  -5174","    56623"
"12","2010-05-17","  85880","  -980420","  -4206","    52417"
"13","2010-05-18","  59360","  -921060","  -4700","    47717"
"14","2010-05-19","  54460","  -866600","  -4435","    43282"
"15","2010-05-20","  64930","  -801670","  -3143","    40139"
"16","2010-05-21","  81320","  -720350","    406","    40545"
"17","2010-05-25"," 100820","  -619530","   2553","    43098"
"18","2010-06-30"," -24290","  -643820","    374","    43472"
"19","2010-07-01"," -22260","  -666080","   2216","    45688"
"20","2010-07-02"," -93950","  -760030","     15","    45703"
"21","2010-08-30","-140660","  -900690","    725","    46428"
"22","2010-08-31","-178930"," -1079620","    735","    47163"
"23","2010-09-29"," 158230","  -921390","  -1038","    46125"
"24","2010-09-30"," 135560","  -785830","  -2336","    43789"
"25","2010-10-28"," 125230","  -660600","  -4756","    39033"
"26","2010-11-19","  77590","  -583010","  -7650","    31383"
"27","2010-11-22","  59950","  -523060","  -7309","    24074"
"28","2010-11-25","  52540","  -470520","  -9365","    14709"
"29","2010-11-26","  32110","  -438410","  -9467","     5242"
"30","2010-11-29","  37710","  -400700","  -9411","    -4169"
"31","2010-12-02"," 128360","  -272340","  -9910","   -14079"
"32","2010-12-03","  87350","  -184990"," -13748","   -27827"
"33","2010-12-09"," 106550","   -78440"," -16344","   -44171"
"34","2010-12-10","  86820","     8380"," -16171","   -60342"
"35","2010-12-13","  85470","    93850"," -15794","   -76136"
"36","2010-12-14","  70530","   164380"," -15965","   -92101"
"37","2010-12-23"," 121370","   285750"," -16927","  -109028"
"38","2011-01-03","-483300","  -197550","   6018","  -103010"
"39","2011-02-23","-315490","  -513040","  17530","   -85480"
"40","2011-03-04"," 229580","  -283460"," -16286","  -101766"
"41","2011-03-15","-254490","  -537950","  19410","   -82356"
"42","2011-03-17","-295460","  -833410","  20367","   -61989"
"43","2011-05-25","-386070"," -1219480","  27211","   -34778"
"44","2011-05-31"," 370510","  -848970"," -27886","   -62664"
"45","2011-06-01"," 355920","  -493050"," -28161","   -90825"
"46","2011-06-07"," 345550","  -147500"," -29057","  -119882"
"47","2011-06-17","-377300","  -524800","  29654","   -90228"
"48","2011-06-20","-382210","  -907010","  31769","   -58459"
"49","2011-06-24","-409960"," -1316970","  30005","   -28454"
"50","2011-06-27","-421880"," -1738850","  29684","     1230"
"51","2011-06-29","-479510"," -2218360","  28824","    30054"
"52","2011-06-30","-514290"," -2732650","  28822","    58876"
"53","2011-07-07","-572450"," -3305100","  26706","    85582"
"54","2011-07-08","-569220"," -3874320","  29828","   115410"
"55","2011-07-11","-607910"," -4482230","  27026","   142436"
"56","2011-07-12","-614200"," -5096430","  27413","   169849"
"57","2011-07-13","-629400"," -5725830","  30763","   200612"
"58","2011-07-14","-629780"," -6355610","  28585","   229197"
"59","2011-07-15","-674670"," -7030280","  24912","   254109"
"60","2011-07-18","-725730"," -7756010","  23662","   277771"
"61","2011-08-04","-771480"," -8527490","  28442","   306213"
"62","2011-08-05","-725760"," -9253250","  28851","   335064"
"63","2011-08-08","-679060"," -9932310","  32158","   367222"
"64","2011-08-09","-676990","-10609300","  32345","   399567"
"65","2011-08-18","-722350","-11331650","  29583","   429150"
"66","2011-08-19","-696190","-12027840","  32193","   461343"
"67","2011-08-22","-711290","-12739130","  32450","   493793"
"68","2011-11-07"," 328430","-12410700"," -53596","   440197"
"69","2011-11-14"," 250510","-12160190"," -56022","   384175"
"70","2011-11-16"," 191940","-11968250"," -57381","   326794"
"71","2011-11-17"," 163090","-11805160"," -58918","   267876"
"72","2011-11-24","-303570","-12108730","  55679","   323555"
"73","2011-11-25","-277240","-12385970","  54837","   378392"
"74","2012-01-10"," 222340","-12163630"," -59515","   318877"
"75","2012-01-11"," 204720","-11958910"," -59620","   259257"
"76","2012-01-12"," 197820","-11761090"," -60655","   198602"
"77","2012-01-17"," 179740","-11581350"," -56670","   141932"
"78","2012-01-18"," 127210","-11454140"," -60055","    81877"
"79","2012-01-30"," 115520","-11338620"," -62428","    19449"
"80","2012-02-02"," 201900","-11136720"," -55949","   -36500"
"81","2012-02-03"," 197680","-10939040"," -55582","   -92082"
"82","2012-02-08"," 253190","-10685850"," -55132","  -147214"
"83","2012-02-09"," 247760","-10438090"," -54607","  -201821"
"84","2012-02-15"," 220700","-10217390"," -56266","  -258087"
"85","2012-02-22"," 164940","-10052450"," -60337","  -318424"
"86","2012-02-29"," 178990"," -9873460"," -62238","  -380662"
"87","2012-03-01"," 153730"," -9719730"," -61623","  -442285"
"88","2012-03-02"," 134480"," -9585250"," -61459","  -503744"
"89","2012-03-14"," 126120"," -9459130"," -66445","  -570189"
"90","2012-03-22"," 122960"," -9336170"," -69652","  -639841"
