"TxDate","CloPrice_TE","CLoPrice_TF","settle","Short E Long B","Long E Short B","TE_Pos"
"36",2010-03-02,311.5,819.29,0,0,0,0
"37",2010-03-03,311.1,832.25,0,0,0,0
"38",2010-03-04,309.13,817.28,0,0,0,0
"39",2010-03-05,313.14,829.86,0,0,0,0
"40",2010-03-08,319.18,834.89,0,0,0,0
"41",2010-03-09,320.07,835.61,0,0,0,0
"42",2010-03-10,319.91,841.66,0,0,0,0
"43",2010-03-11,319.39,829.58,0,0,0,0
"44",2010-03-12,318.82,830.84,0,0,0,0
"45",2010-03-15,313.75,815.85,0,0,0,0
"46",2010-03-16,316.09,823.43,0,0,0,0
"47",2010-03-17,322.75,844.12,1,0,0,0
"48",2010-03-18,324.16,850.06,0,0,0,0
"49",2010-03-19,324.76,851.1,0,0,0,0
"50",2010-03-22,321.65,843.09,0,0,0,0
"51",2010-03-23,321.31,838.7,0,0,0,0
"52",2010-03-24,321.81,839.07,0,0,0,0
"53",2010-03-25,323.26,837.66,0,0,1,0
"54",2010-03-26,325.53,838.79,0,0,1,0
"55",2010-03-29,327.39,848.46,0,0,1,0
"56",2010-03-30,327.44,852.86,0,0,0,0
"57",2010-03-31,326.16,840.54,0,0,0,0
"58",2010-04-01,329.86,852.76,0,0,1,0
"59",2010-04-02,330.49,852.57,0,0,1,0
"60",2010-04-06,334.04,853.96,0,0,1,0
"61",2010-04-07,334.72,856.98,0,0,1,0
"62",2010-04-08,329.79,861.38,0,0,0,0
"63",2010-04-09,331.17,867.86,0,0,0,0
"64",2010-04-12,331.78,868.12,0,0,0,0
"65",2010-04-13,327.94,852.57,0,0,0,0
"66",2010-04-14,331.01,859.39,0,0,0,0
"67",2010-04-15,333.27,863.41,0,0,0,0
"68",2010-04-16,330.29,855.11,0,0,0,0
"69",2010-04-19,321.35,820.41,0,0,0,0
"70",2010-04-20,324.63,824.19,0,0,0,0
"71",2010-04-21,329.5,829.96,1,0,0,0
"72",2010-04-22,330.39,820.31,0,0,1,0
"73",2010-04-23,332.24,821.41,0,0,1,0
"74",2010-04-26,338.06,842.42,0,0,1,0
"75",2010-04-27,337.69,839.7,0,0,0,0
"76",2010-04-28,335.55,823.89,0,0,0,0
"77",2010-04-29,333.43,822.09,0,0,0,0
"78",2010-04-30,329.78,826.4,0,0,0,0
"79",2010-05-03,327.73,821.2,0,0,0,0
"80",2010-05-04,327.63,820.28,0,0,0,0
"81",2010-05-05,317.3,801.76,0,0,0,0
"82",2010-05-06,311.84,796.38,0,1,0,0
"83",2010-05-07,311.93,787.14,0,0,0,0
"84",2010-05-10,316.01,792.99,0,0,0,0
"85",2010-05-11,313.84,788.14,0,0,0,0
"86",2010-05-12,312.75,795.25,0,0,0,0
"87",2010-05-13,319.11,823.1,0,0,0,0
"88",2010-05-14,319.07,820.66,0,0,0,0
"89",2010-05-17,311.08,800.92,0,1,0,0
"90",2010-05-18,309.28,804.96,0,1,0,0
"91",2010-05-19,307.76,802.54,1,1,0,0
"92",2010-05-20,302.96,786.25,0,1,0,0
"93",2010-05-21,296.08,762.44,0,1,0,0
"94",2010-05-24,300.04,768.97,0,0,0,0
