Date,Code,Name,Price,Date,Code,Name,Price,Date,Code,Name,Price,Date,Code,Name,Price
2016/1/4,2317,鴻海,79,2016/1/4,2330,台積電,139.5,2016/1/4,2881,富邦金,43.55,2016/1/4,2882,國泰金,42
2016/1/5,2317,鴻海,79.1,2016/1/5,2330,台積電,138,2016/1/5,2881,富邦金,42.45,2016/1/5,2882,國泰金,41.1
2016/1/6,2317,鴻海,79,2016/1/6,2330,台積電,135.5,2016/1/6,2881,富邦金,41,2016/1/6,2882,國泰金,40.35
2016/1/7,2317,鴻海,78.3,2016/1/7,2330,台積電,133,2016/1/7,2881,富邦金,39.65,2016/1/7,2882,國泰金,39.65
2016/1/8,2317,鴻海,78,2016/1/8,2330,台積電,134,2016/1/8,2881,富邦金,39.65,2016/1/8,2882,國泰金,39.95
2016/1/11,2317,鴻海,75.4,2016/1/11,2330,台積電,133,2016/1/11,2881,富邦金,39,2016/1/11,2882,國泰金,39
2016/1/12,2317,鴻海,76.3,2016/1/12,2330,台積電,133,2016/1/12,2881,富邦金,39.6,2016/1/12,2882,國泰金,38.9
2016/1/13,2317,鴻海,76.6,2016/1/13,2330,台積電,133.5,2016/1/13,2881,富邦金,39.1,2016/1/13,2882,國泰金,38.4
2016/1/14,2317,鴻海,76,2016/1/14,2330,台積電,131.5,2016/1/14,2881,富邦金,38,2016/1/14,2882,國泰金,37
2016/1/15,2317,鴻海,75.3,2016/1/15,2330,台積電,137,2016/1/15,2881,富邦金,36.8,2016/1/15,2882,國泰金,35.5
2016/1/18,2317,鴻海,74.9,2016/1/18,2330,台積電,137,2016/1/18,2881,富邦金,37.35,2016/1/18,2882,國泰金,35
2016/1/19,2317,鴻海,75.3,2016/1/19,2330,台積電,138,2016/1/19,2881,富邦金,37.15,2016/1/19,2882,國泰金,35.3
2016/1/20,2317,鴻海,73.1,2016/1/20,2330,台積電,134.5,2016/1/20,2881,富邦金,35.7,2016/1/20,2882,國泰金,33.9
2016/1/21,2317,鴻海,72.7,2016/1/21,2330,台積電,135,2016/1/21,2881,富邦金,35,2016/1/21,2882,國泰金,33.6
2016/1/22,2317,鴻海,74.8,2016/1/22,2330,台積電,138.5,2016/1/22,2881,富邦金,35,2016/1/22,2882,國泰金,34.1
2016/1/25,2317,鴻海,76,2016/1/25,2330,台積電,139.5,2016/1/25,2881,富邦金,36.2,2016/1/25,2882,國泰金,35.25
2016/1/26,2317,鴻海,75.5,2016/1/26,2330,台積電,137.5,2016/1/26,2881,富邦金,35.35,2016/1/26,2882,國泰金,34.1
2016/1/27,2317,鴻海,75.3,2016/1/27,2330,台積電,139.5,2016/1/27,2881,富邦金,35.4,2016/1/27,2882,國泰金,34.1
2016/1/28,2317,鴻海,75.1,2016/1/28,2330,台積電,140,2016/1/28,2881,富邦金,35.75,2016/1/28,2882,國泰金,34.15
2016/1/29,2317,鴻海,77.8,2016/1/29,2330,台積電,143,2016/1/29,2881,富邦金,36.45,2016/1/29,2882,國泰金,36.1
2016/1/30,2317,鴻海,78.2,2016/1/30,2330,台積電,142,2016/1/30,2881,富邦金,38.2,2016/1/30,2882,國泰金,37.6
2016/2/1,2317,鴻海,79.5,2016/2/1,2330,台積電,144,2016/2/1,2881,富邦金,38.4,2016/2/1,2882,國泰金,37
2016/2/2,2317,鴻海,78.4,2016/2/2,2330,台積電,142.5,2016/2/2,2881,富邦金,38.5,2016/2/2,2882,國泰金,37
2016/2/3,2317,鴻海,76.6,2016/2/3,2330,台積電,146,2016/2/3,2881,富邦金,37.85,2016/2/3,2882,國泰金,35.8
2016/2/15,2317,鴻海,74.7,2016/2/15,2330,台積電,145,2016/2/15,2881,富邦金,36.4,2016/2/15,2882,國泰金,35
2016/2/16,2317,鴻海,76.6,2016/2/16,2330,台積電,147.5,2016/2/16,2881,富邦金,38.35,2016/2/16,2882,國泰金,36.65
2016/2/17,2317,鴻海,76.7,2016/2/17,2330,台積電,148,2016/2/17,2881,富邦金,37.7,2016/2/17,2882,國泰金,36
2016/2/18,2317,鴻海,77.7,2016/2/18,2330,台積電,151,2016/2/18,2881,富邦金,38.3,2016/2/18,2882,國泰金,36.9
2016/2/19,2317,鴻海,76.7,2016/2/19,2330,台積電,151,2016/2/19,2881,富邦金,38.3,2016/2/19,2882,國泰金,37
2016/2/22,2317,鴻海,76.7,2016/2/22,2330,台積電,151,2016/2/22,2881,富邦金,38.35,2016/2/22,2882,國泰金,36.9
2016/2/23,2317,鴻海,77,2016/2/23,2330,台積電,149.5,2016/2/23,2881,富邦金,38.65,2016/2/23,2882,國泰金,37.1
2016/2/24,2317,鴻海,76.5,2016/2/24,2330,台積電,148,2016/2/24,2881,富邦金,38.35,2016/2/24,2882,國泰金,36.6
2016/2/25,2317,鴻海,78.5,2016/2/25,2330,台積電,150.5,2016/2/25,2881,富邦金,39.1,2016/2/25,2882,國泰金,36.9
2016/2/26,2317,鴻海,78,2016/2/26,2330,台積電,149,2016/2/26,2881,富邦金,39.45,2016/2/26,2882,國泰金,37.3
2016/3/1,2317,鴻海,77.7,2016/3/1,2330,台積電,152,2016/3/1,2881,富邦金,39.4,2016/3/1,2882,國泰金,37.05
2016/3/2,2317,鴻海,79.5,2016/3/2,2330,台積電,153,2016/3/2,2881,富邦金,40.15,2016/3/2,2882,國泰金,38.2
